date,entity,mean_sent,std_sent,count
2018-11-26 00:00:00+09:00,코오롱그룹,-0.9701626300811768,,1
2018-11-30 00:00:00+09:00,SKT,-0.9842595458030701,,1
2018-11-30 00:00:00+09:00,포스코,-0.9842595458030701,,1
2018-12-13 00:00:00+09:00,NH농협은행장,-0.9997238516807556,,1
2018-12-13 00:00:00+09:00,이대훈,-0.9997238516807556,,1
2018-12-17 00:00:00+09:00,##강국,-0.745866060256958,,1
2018-12-17 00:00:00+09:00,중국,-0.745866060256958,,1
2018-12-24 00:00:00+09:00,SKE & S 대표이사,-0.9938595294952393,,1
2018-12-24 00:00:00+09:00,유정준,-0.9938595294952393,,1
2018-12-28 00:00:00+09:00,신문,-0.872857928276062,,1
2018-12-29 00:00:00+09:00,M경제,-0.9998175501823425,,1
2019-01-04 00:00:00+09:00,SK그룹,-0.9857977032661438,,1
2019-01-10 00:00:00+09:00,##개소,-0.9998307228088379,,1
2019-01-10 00:00:00+09:00,##도,-0.9998307228088379,,1
2019-01-10 00:00:00+09:00,##충전소,-0.9998307228088379,,1
2019-01-10 00:00:00+09:00,완주산단,-0.9998307228088379,,1
2019-01-10 00:00:00+09:00,전북,-0.9998307228088379,,1
2019-01-11 00:00:00+09:00,##도,-0.9998268485069275,,1
2019-01-11 00:00:00+09:00,수소산업 육성,-0.9998268485069275,,1
2019-01-11 00:00:00+09:00,전북,-0.9998268485069275,,1
2019-01-15 00:00:00+09:00,##도,-0.999818742275238,,1
2019-01-15 00:00:00+09:00,##차,-0.999818742275238,,1
2019-01-15 00:00:00+09:00,##충전소,-0.999818742275238,,1
2019-01-15 00:00:00+09:00,전북,-0.999818742275238,,1
2019-01-16 00:00:00+09:00,##미술관,-0.8078466057777405,,1
2019-01-16 00:00:00+09:00,##현대,-0.8078466057777405,,1
2019-01-16 00:00:00+09:00,과천,-0.9998257756233215,,1
2019-01-16 00:00:00+09:00,국립,-0.8078466057777405,,1
2019-01-16 00:00:00+09:00,국립현대미술관,-0.9998257756233215,,1
2019-01-16 00:00:00+09:00,덕수궁,-0.9998257756233215,,1
2019-01-16 00:00:00+09:00,서울,-0.9998257756233215,,1
2019-01-16 00:00:00+09:00,청주관,-0.9998257756233215,,1
2019-01-21 00:00:00+09:00,SW,-0.5728689432144165,,1
2019-01-30 00:00:00+09:00,EU,-0.9333969354629517,,1
2019-01-30 00:00:00+09:00,영국,-0.9333969354629517,,1
2019-02-01 00:00:00+09:00,##달,-0.9970933198928833,,1
2019-02-01 00:00:00+09:00,이 총리,-0.9970933198928833,,1
2019-02-13 00:00:00+09:00,한진그룹,-0.9882187843322754,,1
2019-02-14 00:00:00+09:00,롯데지주 대표,-0.9954735636711121,,1
2019-02-15 00:00:00+09:00,광주,-0.46670395135879517,,1
2019-02-22 00:00:00+09:00,경찰청장,-0.9942103624343872,,1
2019-02-22 00:00:00+09:00,민갑룡,-0.9942103624343872,,1
2019-02-27 00:00:00+09:00,강원랜드 대표이사,-0.9988976716995239,,1
2019-02-27 00:00:00+09:00,문태곤,-0.9988976716995239,,1
2019-03-05 00:00:00+09:00,사장,-0.9994218349456787,,1
2019-03-05 00:00:00+09:00,이강래 전,-0.9994218349456787,,1
2019-03-05 00:00:00+09:00,한국도로공사,-0.9994218349456787,,1
2019-03-08 00:00:00+09:00,SPC그룹,-0.9806601405143738,,1
2019-03-08 00:00:00+09:00,하나금융투자 대표,-0.9997246861457825,,1
2019-03-11 00:00:00+09:00,HDC그룹,-0.9859437942504883,,1
2019-03-13 00:00:00+09:00,英,-0.9998284578323364,,1
2019-03-18 00:00:00+09:00,이학수,-0.9994134902954102,,1
2019-03-18 00:00:00+09:00,한국수자원공사 사장,-0.9994134902954102,,1
2019-03-20 00:00:00+09:00,日,-0.8948760032653809,,1
2019-03-20 00:00:00+09:00,금융권,-0.8948760032653809,,1
2019-03-26 00:00:00+09:00,삼성바이오에피스 대표,-0.999066174030304,,1
2019-03-29 00:00:00+09:00,이갑수,-0.9987347722053528,,1
2019-03-29 00:00:00+09:00,이마트 대표이사 사장,-0.9987347722053528,,1
2019-04-04 00:00:00+09:00,피츠버그,-0.9998167157173157,,1
2019-04-12 00:00:00+09:00,금감원,-0.9997058510780334,,1
2019-04-12 00:00:00+09:00,은행 점포,-0.9997058510780334,,1
2019-04-12 00:00:00+09:00,자율,-0.9997058510780334,,1
2019-04-16 00:00:00+09:00,SK이노베이션 대표이사 총괄,-0.9993399977684021,,1
2019-04-16 00:00:00+09:00,김준,-0.9993399977684021,,1
2019-05-14 00:00:00+09:00,세종시,-0.9816387891769409,,1
2019-05-18 00:00:00+09:00,##곡중 체육관,-0.9997616410255432,,1
2019-05-18 00:00:00+09:00,불,-0.9997616410255432,,1
2019-05-18 00:00:00+09:00,시진핑,-0.9930243492126465,,1
2019-05-18 00:00:00+09:00,지도자,-0.9930243492126465,,1
2019-05-20 00:00:00+09:00,김용학,-0.9236075282096863,,1
2019-05-20 00:00:00+09:00,연세대학교 총장,-0.9236075282096863,,1
2019-05-20 00:00:00+09:00,원전 가동,-0.5343847870826721,,1
2019-05-21 00:00:00+09:00,’,-0.999416708946228,,1
2019-05-21 00:00:00+09:00,정부의,-0.999416708946228,,1
2019-05-22 00:00:00+09:00,SK디스커버리 대표,-0.9992903470993042,,1
2019-05-22 00:00:00+09:00,김철,-0.9992903470993042,,1
2019-05-24 00:00:00+09:00,JYP엔터테인먼트,-0.9821575880050659,,1
2019-05-30 00:00:00+09:00,국민건강보험공단 이사장,-0.9996923208236694,,1
2019-05-30 00:00:00+09:00,김용익,-0.9996923208236694,,1
2019-05-31 00:00:00+09:00,##소,-0.9998152852058411,,1
2019-05-31 00:00:00+09:00,강진중학교 연립사택,-0.9998152852058411,,1
2019-05-31 00:00:00+09:00,국도21호선 가산교,-0.9998152852058411,,1
2019-06-03 00:00:00+09:00,메리츠종금증권 대표이사,-0.9974924325942993,,1
2019-06-03 00:00:00+09:00,최희문,-0.9974924325942993,,1
2019-06-05 00:00:00+09:00,SK건설 대표이사,-0.9631848335266113,,1
2019-06-05 00:00:00+09:00,안재현,-0.9631848335266113,,1
2019-06-11 00:00:00+09:00,기업,-0.999634861946106,,1
2019-06-11 00:00:00+09:00,김용덕,-0.969452440738678,,1
2019-06-11 00:00:00+09:00,미,-0.999634861946106,,1
2019-06-11 00:00:00+09:00,손해보험협회,-0.969452440738678,,1
2019-06-11 00:00:00+09:00,중,-0.999634861946106,,1
2019-06-11 00:00:00+09:00,한국,-0.999634861946106,,1
2019-06-12 00:00:00+09:00,인천국제공항공사,-0.9991422891616821,,1
2019-06-13 00:00:00+09:00,##로,-0.9833978414535522,,1
2019-06-17 00:00:00+09:00,SK 대표,-0.7109031677246094,,1
2019-06-19 00:00:00+09:00,레버쿠젠,-0.9991381168365479,,1
2019-06-19 00:00:00+09:00,보슈 애제자,-0.9991381168365479,,1
2019-06-19 00:00:00+09:00,싱크라벤,-0.9991381168365479,,1
2019-06-22 00:00:00+09:00,미,-0.4357554018497467,,1
2019-06-24 00:00:00+09:00,##치과병원,-0.999407172203064,,1
2019-06-24 00:00:00+09:00,##학교,-0.999407172203064,,1
2019-06-24 00:00:00+09:00,건축도시공간연구소,-0.999407172203064,,1
2019-06-24 00:00:00+09:00,국방전직교육원,-0.999407172203064,,1
2019-06-24 00:00:00+09:00,서울대,-0.999407172203064,,1
2019-06-24 00:00:00+09:00,시진핑,-0.5192287564277649,,1
2019-06-24 00:00:00+09:00,한국교통안전공단,-0.999407172203064,,1
2019-06-24 00:00:00+09:00,한국원자력안전기술원,-0.999407172203064,,1
2019-06-26 00:00:00+09:00,GRT,-0.9998094439506531,,1
2019-06-26 00:00:00+09:00,SNK,-0.9998094439506531,,1
2019-06-26 00:00:00+09:00,로스웰,-0.9998094439506531,,1
2019-06-26 00:00:00+09:00,컬러레이,-0.9998094439506531,,1
2019-06-26 00:00:00+09:00,한국기업평가,-0.9998094439506531,,1
2019-07-04 00:00:00+09:00,GRT,-0.9998100399971008,,1
2019-07-04 00:00:00+09:00,SNK,-0.9998100399971008,,1
2019-07-04 00:00:00+09:00,로스웰,-0.9998100399971008,,1
2019-07-04 00:00:00+09:00,컬러레이,-0.9998100399971008,,1
2019-07-04 00:00:00+09:00,한국기업평가,-0.9998100399971008,,1
2019-07-08 00:00:00+09:00,김창범,-0.9865236878395081,,1
2019-07-08 00:00:00+09:00,차남규,-0.9973680377006531,,1
2019-07-08 00:00:00+09:00,한화생명 대표이사 부회장,-0.9973680377006531,,1
2019-07-08 00:00:00+09:00,한화케미칼 이사회 의장,-0.9865236878395081,,1
2019-07-15 00:00:00+09:00,현대로템,-0.9998213648796082,,1
2019-07-16 00:00:00+09:00,100대 AI 스타트업,-0.8786009550094604,,1
2019-07-16 00:00:00+09:00,GS,-0.999823272228241,,1
2019-07-16 00:00:00+09:00,에,-0.8786009550094604,,1
2019-07-16 00:00:00+09:00,한국,-0.8786009550094604,,1
2019-07-19 00:00:00+09:00,공격의,-0.9998217225074768,,1
2019-07-19 00:00:00+09:00,알레,-0.9998217225074768,,1
2019-07-19 00:00:00+09:00,웨스트,-0.9998217225074768,,1
2019-07-19 00:00:00+09:00,푸스발,-0.9998217225074768,,1
2019-07-19 00:00:00+09:00,햄,-0.9998217225074768,,1
2019-07-20 00:00:00+09:00,동북아 허브 ’ 공항,-0.983482837677002,,1
2019-07-20 00:00:00+09:00,중국,-0.983482837677002,,1
2019-07-24 00:00:00+09:00,GRT,-0.9998093247413635,,1
2019-07-24 00:00:00+09:00,SNK,-0.9998093247413635,,1
2019-07-24 00:00:00+09:00,로스웰,-0.9998093247413635,,1
2019-07-24 00:00:00+09:00,컬러레이,-0.9998093247413635,,1
2019-07-24 00:00:00+09:00,한국기업평가,-0.9998093247413635,,1
2019-07-31 00:00:00+09:00,이현,-0.9956322312355042,,1
2019-07-31 00:00:00+09:00,키움증권 대표,-0.9956322312355042,,1
2019-08-02 00:00:00+09:00,문은상,-0.9798805117607117,,1
2019-08-02 00:00:00+09:00,신라젠 대표,-0.9798805117607117,,1
2019-08-03 00:00:00+09:00,##소재 전문가,-0.9992008805274963,,1
2019-08-03 00:00:00+09:00,##의생생경제,-0.9995051622390747,,1
2019-08-03 00:00:00+09:00,전문가가,-0.9992008805274963,,1
2019-08-03 00:00:00+09:00,조태현,-0.9995051622390747,,1
2019-08-05 00:00:00+09:00,LG화학 대표이사,-0.9951907396316528,,1
2019-08-08 00:00:00+09:00,송철호,-0.9957583546638489,,1
2019-08-08 00:00:00+09:00,울산광역시 시장,-0.9957583546638489,,1
2019-08-09 00:00:00+09:00,대전광역시 시장,-0.9968330264091492,,1
2019-08-09 00:00:00+09:00,허태정,-0.9968330264091492,,1
2019-08-12 00:00:00+09:00,LS그룹,-0.9688482880592346,,1
2019-08-12 00:00:00+09:00,구자열,-0.9688482880592346,,1
2019-08-21 00:00:00+09:00,##강우,-0.9998276233673096,,1
2019-08-21 00:00:00+09:00,##건,-0.9998276233673096,,1
2019-08-21 00:00:00+09:00,##생활,-0.9998276233673096,,1
2019-08-21 00:00:00+09:00,##차,-0.9997947812080383,,1
2019-08-21 00:00:00+09:00,LG,-0.9998276233673096,,1
2019-08-21 00:00:00+09:00,LGCNS 대표이사,-0.9989870190620422,,1
